# KTP (dispersive) -- principal refractive index
# source: K. Kato and E. Takaoka. Sellmeier and thermo-optic dispersion formulas for KTP. Appl. Opt. 41, 5040-5044 (2002).
# doi: 10.1364/AO.41.005040   conditions: 20 C
# validity: 0.43-3.54 um
# via refractiveindex.info database (CC0): KTiOPO4/nk/Kato-alpha.yml, KTiOPO4/nk/Kato-beta.yml, KTiOPO4/nk/Kato-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.9e-06
wavelength_um,nx,ny,nz
1.196,1.7347024,1.7420004,1.8250343
1.198,1.7346587,1.7419532,1.8249716
1.2,1.734615,1.7419062,1.8249091
1.202,1.7345715,1.7418592,1.8248468
1.204,1.7345281,1.7418124,1.8247846
1.206,1.7344848,1.7417658,1.8247226
1.208,1.7344417,1.7417192,1.8246608
1.21,1.7343986,1.7416728,1.8245992
1.212,1.7343557,1.7416265,1.8245378
1.214,1.7343129,1.7415803,1.8244765
1.216,1.7342702,1.7415343,1.8244154
1.218,1.7342276,1.7414883,1.8243545
1.22,1.7341851,1.7414425,1.8242937
1.222,1.7341428,1.7413968,1.8242331
1.224,1.7341005,1.7413512,1.8241727
1.226,1.7340584,1.7413057,1.8241124
1.228,1.7340164,1.7412604,1.8240523
1.23,1.7339744,1.7412151,1.8239924
1.232,1.7339326,1.74117,1.8239326
1.234,1.7338909,1.741125,1.823873
1.236,1.7338493,1.7410801,1.8238135
1.238,1.7338078,1.7410353,1.8237542
1.24,1.7337664,1.7409906,1.8236951
1.242,1.7337251,1.740946,1.8236361
1.244,1.7336839,1.7409015,1.8235772
1.246,1.7336428,1.7408571,1.8235185
1.248,1.7336018,1.7408129,1.82346
1.25,1.7335609,1.7407687,1.8234016
1.252,1.7335201,1.7407246,1.8233433
1.254,1.7334794,1.7406807,1.8232852
1.256,1.7334388,1.7406368,1.8232273
1.258,1.7333983,1.7405931,1.8231694
1.26,1.7333579,1.7405494,1.8231118
1.262,1.7333176,1.7405058,1.8230542
1.264,1.7332774,1.7404624,1.8229968
1.266,1.7332372,1.740419,1.8229396
1.268,1.7331972,1.7403757,1.8228825
1.27,1.7331572,1.7403325,1.8228255
1.272,1.7331173,1.7402895,1.8227686
1.274,1.7330776,1.7402465,1.8227119
1.276,1.7330379,1.7402036,1.8226553
1.278,1.7329983,1.7401607,1.8225989
1.28,1.7329587,1.740118,1.8225426
1.282,1.7329193,1.7400754,1.8224864
1.284,1.73288,1.7400329,1.8224303
1.286,1.7328407,1.7399904,1.8223744
1.288,1.7328015,1.739948,1.8223186
1.29,1.7327624,1.7399057,1.8222629
1.292,1.7327234,1.7398636,1.8222073
1.294,1.7326845,1.7398214,1.8221519
1.296,1.7326456,1.7397794,1.8220966
1.298,1.7326068,1.7397375,1.8220414
1.3,1.7325681,1.7396956,1.8219863
1.302,1.7325295,1.7396538,1.8219314
1.304,1.732491,1.7396121,1.8218765
1.306,1.7324525,1.7395705,1.8218218
1.308,1.7324141,1.739529,1.8217672
1.31,1.7323758,1.7394875,1.8217127
1.312,1.7323376,1.7394461,1.8216583
1.314,1.7322994,1.7394048,1.8216041
1.316,1.7322613,1.7393636,1.8215499
1.318,1.7322233,1.7393224,1.8214959
1.32,1.7321853,1.7392813,1.821442
1.322,1.7321474,1.7392403,1.8213881
1.324,1.7321096,1.7391994,1.8213344
1.326,1.7320719,1.7391586,1.8212808
1.328,1.7320342,1.7391178,1.8212273
1.33,1.7319966,1.739077,1.8211739
1.332,1.7319591,1.7390364,1.8211206
1.334,1.7319216,1.7389958,1.8210675
1.336,1.7318842,1.7389553,1.8210144
1.338,1.7318469,1.7389149,1.8209614
1.34,1.7318096,1.7388745,1.8209085
1.342,1.7317724,1.7388342,1.8208557
1.344,1.7317353,1.738794,1.8208031
1.346,1.7316982,1.7387538,1.8207505
1.348,1.7316612,1.7387137,1.820698
1.35,1.7316242,1.7386737,1.8206456
1.352,1.7315873,1.7386337,1.8205933
1.354,1.7315505,1.7385938,1.8205411
1.356,1.7315137,1.738554,1.820489
1.358,1.731477,1.7385142,1.820437
1.36,1.7314404,1.7384745,1.8203851
1.362,1.7314038,1.7384348,1.8203333
1.364,1.7313672,1.7383952,1.8202815
